iter	RMSE
0	11.18396441
1	10.77551356
2	10.4005198
3	10.03692567
4	9.692119397
5	9.364899934
6	9.051898849
7	8.748743081
8	8.463130061
9	8.194564656
10	7.934978832
11	7.691211594
12	7.45179375
13	7.231009251
14	7.016724055
15	6.816816804
16	6.621219905
17	6.441615958
18	6.273495834
19	6.111305074
20	5.958013773
21	5.816153897
22	5.682803654
23	5.557320302
24	5.433512837
25	5.316344128
26	5.214410579
27	5.111696151
28	5.01746516
29	4.922763134
30	4.841527259
31	4.766559269
32	4.693360043
33	4.62539349
34	4.561301986
35	4.50101249
36	4.443726833
37	4.390796106
38	4.342803754
39	4.300163513
40	4.254203407
41	4.213289497
42	4.175700331
43	4.136759152
44	4.103461792
45	4.06987037
46	4.038311659
47	4.008522894
48	3.983694715
49	3.964522617
50	3.94190772
51	3.91620978
52	3.895726236
53	3.873643004
54	3.857547267
55	3.840555366
56	3.82180591
57	3.805561957
58	3.790859184
59	3.776256576
60	3.761332918
61	3.748864751
62	3.737798114
63	3.723681902
64	3.714331282
65	3.703857204
66	3.69185785
67	3.681030909
68	3.672251965
69	3.662695335
70	3.655387041
71	3.646905303
72	3.63853901
73	3.63069542
74	3.624605377
75	3.618347824
76	3.611728604
77	3.603764811
78	3.595535915
79	3.588058097
80	3.580411526
81	3.573071698
82	3.566619154
83	3.556622012
84	3.547848944
85	3.542655528
86	3.536100002
87	3.53142677
88	3.525057001
89	3.520563469
90	3.512688653
91	3.508505678
92	3.502773744
93	3.496013802
94	3.490949829
95	3.483815262
96	3.477520558
97	3.473098367
98	3.46876615
99	3.465117359
100	3.461207422
101	3.455039412
102	3.451365421
103	3.448247263
104	3.444604132
105	3.438322284
106	3.433386114
107	3.429663376
108	3.425877276
109	3.421984811
110	3.412270688
111	3.408722426
112	3.403061309
113	3.399172739
114	3.395265796
115	3.391996607
116	3.387581362
117	3.385078234
118	3.382585922
119	3.378190055
120	3.37346435
121	3.369797059
122	3.367019507
123	3.361184872
124	3.355698997
125	3.351251135
126	3.347329533
127	3.344486921
128	3.340091606
129	3.334310539
130	3.329368627
131	3.325176511
132	3.32011885
133	3.315254408
134	3.312721768
135	3.310326182
136	3.306495017
137	3.303077166
138	3.300620453
139	3.296751509
140	3.293220318
141	3.290237188
142	3.287475747
143	3.283538355
144	3.281330473
145	3.27881083
146	3.273908532
147	3.270684645
148	3.267009385
149	3.26365261
150	3.260861964
151	3.258226558
152	3.255066333
153	3.252845102
154	3.249953955
155	3.246204574
156	3.243577538
157	3.239924911
158	3.238115115
159	3.232658979
160	3.229389821
161	3.225271135
162	3.222413101
163	3.217727746
164	3.21438505
165	3.210451121
166	3.207071201
167	3.20551018
168	3.203065283
169	3.199386936
170	3.195909252
171	3.193961176
172	3.190524797
173	3.187747875
174	3.185617209
175	3.183293661
176	3.18057606
177	3.177648388
178	3.174742492
179	3.171287299
180	3.168198349
181	3.164682259
182	3.161796785
183	3.1589275
184	3.155958702
185	3.152323819
186	3.149433056
187	3.147219638
188	3.142107294
189	3.139063569
190	3.136968374
191	3.133468502
192	3.131887739
193	3.12651745
194	3.1222504
195	3.119402302
196	3.115402424
197	3.112555877
198	3.109951305
199	3.107770923
200	3.105204312
201	3.102662093
202	3.100909561
203	3.098470009
204	3.095268715
205	3.092490345
206	3.09023666
207	3.086539557
208	3.08287346
209	3.079662375
210	3.07741454
211	3.075038233
212	3.072118274
213	3.068073477
214	3.064008157
215	3.05955956
216	3.055980724
217	3.053471513
218	3.050462458
219	3.048833901
220	3.045577857
221	3.043152724
222	3.040970234
223	3.03866365
224	3.035930155
225	3.033669632
226	3.030430683
227	3.027984033
228	3.025239502
229	3.021095947
230	3.017533225
231	3.014049258
232	3.011249671
233	3.00800665
234	3.005152054
235	3.003326009
236	2.999853961
237	2.99803697
238	2.994512185
239	2.991642002
240	2.987136022
241	2.984721028
242	2.981857521
243	2.978195805
244	2.974795677
245	2.972447002
246	2.968785437
247	2.966338168
248	2.963251511
249	2.960625366
250	2.958359737
251	2.953803221
252	2.952306235
253	2.950200412
254	2.946323662
255	2.943853507
256	2.940369755
257	2.936198756
258	2.933569726
259	2.930571475
260	2.927003132
261	2.923989279
262	2.920415971
263	2.917235445
264	2.914926282
265	2.91311293
266	2.910982683
267	2.90681977
268	2.904862073
269	2.902569221
270	2.899385212
271	2.896174459
272	2.893578168
273	2.891740307
274	2.888878675
275	2.885716352
276	2.883191085
277	2.881048648
278	2.877898894
279	2.874566647
280	2.871678239
281	2.869099605
282	2.866855084
283	2.865129467
284	2.862199523
285	2.860520781
286	2.856955389
287	2.854850638
288	2.851953536
289	2.849182383
290	2.846818688
291	2.844291721
292	2.841875891
293	2.838703339
294	2.835721215
295	2.833597183
296	2.830551418
297	2.82879108
298	2.825964413
299	2.822382294
300	2.818792419
301	2.816232891
302	2.814361489
303	2.811618494
304	2.808878441
305	2.806610625
306	2.80492504
307	2.802320315
308	2.800269734
309	2.797775783
310	2.795143083
311	2.793259007
312	2.790667986
313	2.787601351
314	2.785242078
315	2.783436245
316	2.782392579
317	2.780024323
318	2.776290126
319	2.772262505
320	2.769826763
321	2.766664034
322	2.764094291
323	2.76170698
324	2.759631672
325	2.757839014
326	2.754613323
327	2.751454944
328	2.750132194
329	2.748565173
330	2.74498082
331	2.742446033
332	2.739814992
333	2.737772365
334	2.735557175
335	2.733780426
336	2.730477431
337	2.727422253
338	2.724612779
339	2.722297846
340	2.720445377
341	2.716857569
342	2.714810125
343	2.713148303
344	2.710644356
345	2.707542608
346	2.706296285
347	2.703985756
348	2.700381302
349	2.698428381
350	2.695229852
351	2.692606721
352	2.689739465
353	2.687259729
354	2.685158039
355	2.681468258
356	2.678421051
357	2.676954731
358	2.674871815
359	2.672556563
360	2.670381743
361	2.667901683
362	2.6657753
363	2.663157036
364	2.661256932
365	2.658127551
366	2.655430216
367	2.652465059
368	2.651049476
369	2.648799289
370	2.646287746
371	2.644754346
372	2.642719642
373	2.640365793
374	2.638352497
375	2.63738459
376	2.63439161
377	2.632419541
378	2.62907427
379	2.626384669
380	2.623442967
381	2.621062206
382	2.617734695
383	2.615740138
384	2.612662054
385	2.610940366
386	2.608505236
387	2.606934857
388	2.604840785
389	2.602289493
390	2.600321838
391	2.598366835
392	2.596697563
393	2.594318079
394	2.591736913
395	2.588514425
396	2.586744461
397	2.584545519
398	2.582442697
399	2.580177548
400	2.577459961
401	2.575991871
402	2.573740446
403	2.572133701
404	2.569901545
405	2.567320018
406	2.565591429
407	2.563836611
408	2.560954637
409	2.558279573
410	2.556805224
411	2.554516386
412	2.552614165
413	2.550906906
414	2.548082719
415	2.546376036
416	2.544502975
417	2.541793687
418	2.539082688
419	2.53794123
420	2.535590981
421	2.532982079
422	2.531661699
423	2.530239245
424	2.528922108
425	2.527271763
426	2.525480035
427	2.523602703
428	2.521055455
429	2.519552339
430	2.51709628
431	2.515839796
432	2.513546746
433	2.511256068
434	2.509340446
435	2.507541872
436	2.50544886
437	2.50336967
438	2.501307861
439	2.499769137
440	2.497983867
441	2.495993334
442	2.492830527
443	2.489979586
444	2.48907034
445	2.487952234
446	2.486299897
447	2.484124254
448	2.482588063
449	2.480849927
450	2.47924695
451	2.477921115
452	2.476335743
453	2.474470767
454	2.471494487
455	2.469162803
456	2.4676619
457	2.465821469
458	2.464080348
459	2.462479533
460	2.461131064
461	2.459157919
462	2.456372214
463	2.453552487
464	2.451482136
465	2.449967887
466	2.448633235
467	2.445614729
468	2.443903833
469	2.442313354
470	2.440911734
471	2.438372622
472	2.436842586
473	2.43495737
474	2.432221641
475	2.431263182
476	2.429026943
477	2.427354862
478	2.424982958
479	2.423212711
480	2.421781891
481	2.418637799
482	2.416218001
483	2.41499543
484	2.412724105
485	2.410336908
486	2.407833804
487	2.406094903
488	2.403708579
489	2.401832075
490	2.399798907
491	2.39797874
492	2.39683446
493	2.394557379
494	2.393557429
495	2.392267673
496	2.390473847
497	2.387993235
498	2.386613374
499	2.385285695
500	2.38365104
501	2.381722825
502	2.380362347
503	2.379418165
504	2.377838182
505	2.376063837
506	2.374107295
507	2.372798834
508	2.371685583
509	2.370193568
510	2.368914108
511	2.367763284
512	2.365704874
513	2.364479958
514	2.36237948
