iter	Passed	Remaining
0	1	813
1	3	817
2	4	800
3	6	806
4	8	879
5	10	873
6	11	866
7	13	862
8	15	858
9	16	849
10	18	846
11	19	837
12	21	828
13	23	824
14	24	827
15	26	826
16	28	820
17	29	816
18	31	812
19	32	808
20	34	804
21	35	801
22	37	797
23	38	793
24	40	801
25	42	801
26	44	810
27	46	805
28	47	804
29	49	802
30	51	803
31	53	802
32	54	802
33	56	801
34	58	796
35	59	796
36	61	795
37	63	793
38	64	792
39	66	790
40	68	788
41	69	787
42	71	784
43	73	783
44	74	782
45	76	779
46	78	783
47	80	779
48	82	786
49	84	784
50	86	789
51	88	787
52	90	786
53	92	788
54	94	787
55	95	784
56	98	789
57	99	787
58	101	786
59	104	788
60	105	787
61	107	785
62	109	782
63	110	780
64	112	777
65	114	777
66	115	775
67	117	774
68	119	771
69	120	768
70	122	767
71	124	764
72	126	764
73	127	761
74	129	759
75	131	758
76	133	756
77	134	753
78	136	750
79	137	748
80	140	750
81	142	750
82	143	747
83	145	744
84	146	742
85	148	740
86	150	738
87	151	735
88	153	733
89	155	732
90	156	730
91	158	728
92	159	725
93	161	722
94	163	720
95	164	719
96	166	716
97	167	714
98	169	711
99	171	709
100	172	707
101	174	705
102	175	703
103	177	700
104	178	698
105	180	696
106	183	699
107	184	696
108	186	694
109	188	693
110	189	691
111	191	688
112	192	686
113	194	683
114	195	681
115	197	679
116	199	679
117	201	677
118	202	674
119	204	673
120	206	671
121	207	669
122	209	666
123	210	664
124	212	662
125	213	660
126	215	658
127	217	656
128	218	654
129	220	652
130	221	650
131	223	648
132	225	646
133	226	644
134	228	642
135	230	641
136	231	639
137	233	636
138	234	634
139	236	632
140	237	631
141	239	628
142	241	627
143	242	624
144	244	622
145	245	620
146	247	618
147	248	616
148	250	614
149	251	612
150	253	610
151	254	608
152	256	606
153	257	603
154	259	601
155	260	600
156	262	598
157	263	596
158	265	594
159	266	592
160	268	590
161	270	588
162	271	586
163	273	584
164	274	582
165	276	580
166	277	578
167	279	576
168	280	574
169	282	573
170	283	570
171	285	569
172	286	567
173	288	565
174	289	562
175	291	561
176	292	559
177	294	557
178	295	555
179	297	553
180	298	551
181	300	549
182	302	548
183	303	546
184	305	544
185	306	542
186	308	540
187	309	538
188	311	536
189	312	535
190	314	533
191	315	531
192	317	529
193	318	527
194	320	525
195	322	524
196	323	522
197	325	520
198	326	519
199	328	517
200	330	515
201	331	514
202	333	512
203	335	511
204	336	509
205	338	507
206	340	506
207	341	504
208	343	502
209	345	501
210	346	499
211	348	498
212	350	496
213	352	495
214	353	493
215	355	492
216	356	490
217	358	488
218	360	486
219	361	485
220	363	483
221	365	481
222	367	480
223	368	479
224	370	477
225	372	475
226	373	474
227	375	472
228	376	470
229	378	468
230	379	467
231	381	465
232	383	463
233	384	462
234	386	460
235	387	458
236	389	456
237	390	454
238	392	453
239	394	451
240	396	450
241	397	448
242	399	447
243	401	445
244	402	443
245	404	442
246	405	440
247	407	438
248	409	437
249	410	435
250	412	433
251	413	431
252	415	430
253	417	429
254	419	427
255	420	425
256	422	423
