ds,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,weathercode,wind_speed_10m,surface_pressure,city
2019-01-01,-13.69999980926514,56.0,0.0,0.0,0.0,3.0,12.60000038146973,1008.700012207031,Благовещенск
2019-01-02,-21.5,82.0,0.0,0.0,0.0,0.0,12.0,1011.200012207031,Благовещенск
2019-01-03,-19.20000076293945,74.0,0.0,0.0,0.0,0.0,10.80000019073486,1010.599975585938,Благовещенск
2019-01-04,-19.79999923706055,73.0,0.0,0.0,0.0,0.0,3.799999952316284,1007.599975585938,Благовещенск
2019-01-05,-23.60000038146973,77.0,0.0,0.0,0.0,2.0,8.5,1005.5,Благовещенск
2019-01-06,-19.10000038146973,73.0,0.0,0.0,0.0,0.0,10.19999980926514,1010.599975585938,Благовещенск
2019-01-07,-21.0,74.0,0.0,0.0,0.0,0.0,7.099999904632568,1008.900024414062,Благовещенск
2019-01-08,-22.60000038146973,72.0,0.0,0.0,0.0,3.0,10.0,1005.5,Благовещенск
2019-01-09,-17.79999923706055,49.0,0.0,0.0,0.0,3.0,13.80000019073486,996.5999755859375,Благовещенск
2019-01-10,-17.79999923706055,69.0,0.0,0.0,0.0,0.0,13.0,993.0999755859375,Благовещенск
2019-01-11,-17.29999923706055,68.0,0.0,0.0,0.0,0.0,7.300000190734863,1006.200012207031,Благовещенск
2019-01-12,-17.5,81.0,0.0,0.0,0.0,2.0,10.0,1005.700012207031,Благовещенск
2019-01-13,-23.10000038146973,84.0,0.0,0.0,0.0,3.0,11.39999961853027,1008.900024414062,Благовещенск
2019-01-14,-18.5,79.0,0.0,0.0,0.0,3.0,8.199999809265137,1008.700012207031,Благовещенск
2019-01-15,-20.449999809265137,78.0,0.0,0.0,0.0,0.0,12.60000038146973,1006.299987792969,Благовещенск
2019-01-16,-22.39999961853027,72.0,0.0,0.0,0.0,3.0,10.5,997.7999877929688,Благовещенск
2019-01-17,-27.79999923706055,51.0,0.0,0.0,0.0,0.0,16.60000038146973,1003.0,Благовещенск
2019-01-18,-25.29999923706055,66.0,0.0,0.0,0.0,0.0,14.30000019073486,1007.0,Благовещенск
